Butte Falls,Oregon,42.54364,-122.56665
Midland,Michigan,43.61708,-84.24506
Santa Barbara,California,34.41938,-119.69905
Seward,Alaska,60.11235,-149.44294
Elk Mountain,Wyoming,41.68726,-106.41376
Fargo,North Dakota,46.87591,-96.78176
West Palm Beach,Florida,26.71439,-80.05319
Wapiti,Wyoming,44.46783,-109.43756
Essex,California,34.74591,-115.25818
Paradise,Michigan,46.62731,-85.03737
Dubuque,Iowa,42.49913,-90.66327
Kincheloe,Michigan,46.2594,-84.46384
Tower City,North Dakota,46.92005,-97.67699
Port Lions,Alaska,57.86759,-152.87976
Norfolk,Virginia,36.84682,-76.28506
Madison,Wisconsin,43.07295,-89.38669
Springfield,Missouri,37.20897,-93.29156
Power,Montana,47.7123,-111.68728
Watton,Michigan,46.5375,-88.60105
Lemhi,Idaho,44.85238,-113.62009
Holyoke,Minnesota,46.46814,-92.3861
Fort Lyon,Colorado,38.10048,-103.15179
Grants Pass,Oregon,42.44322,-123.32463
Yakima,Washington,46.60413,-120.50705
Roaring Springs,Texas,33.89983,-100.85652
Flagstaff,Arizona,35.1982,-111.6513
Moore,Idaho,43.73601,-113.36646
Detroit Lakes,Minnesota,46.81951,-95.84524
Los Angeles,California,34.05349,-118.24532
Grayling,Michigan,44.66132,-84.71439
Chambers,Arizona,35.19103,-109.43619
Sutherland,Iowa,42.96803,-95.49689
Tulsa,Oklahoma,36.14974,-95.99333
Usaf Academy,Colorado,38.95557,-104.82177
Mountainair,New Mexico,34.52089,-106.24057
Fayetteville,North Carolina,35.05534,-78.87727
Newcomb,New York,43.9653,-74.12317
Kotlik,Alaska,63.03285,-163.55358
Brattleboro,Vermont,42.85406,-72.55888
Bagdad,Arizona,34.57217,-113.1784
Gillette,Wyoming,44.29318,-105.50476
Westernport,Maryland,39.49437,-79.0451
Payson,Arizona,34.2316,-111.32446
Polo,Missouri,39.55373,-94.03961
Kennewick,Washington,46.20804,-119.11698
Rinard,Illinois,38.57063,-88.46147
Marshall,Alaska,61.882,-162.08553
Frontenac,Minnesota,44.52676,-92.33006
Ismay,Montana,46.50122,-104.79604
Kingman,Arizona,35.18885,-114.05568
Kasigluk,Alaska,60.89527,-162.51712
Yuma,Arizona,32.68485,-114.62461
Missoula,Montana,46.87278,-113.99625
Holbrook,Idaho,42.16219,-112.65589
Cody,Nebraska,42.93609,-101.24442
Ah Gwah Ching,Minnesota,47.07412,-94.56277
Clarksville,Tennessee,36.53121,-87.35992
Lexington,Kentucky,38.04859,-84.50032
Pilot Point,Alaska,57.55914,-157.57892
Darrouzett,Texas,36.44582,-100.32537
Ketchikan,Alaska,55.34209,-131.64781
Augusta,Georgia,33.47929,-81.97522
Shenandoah,Iowa,40.76593,-95.37561
Deering,Alaska,66.07611,-162.72003
Jacksonville,Florida,30.33147,-81.65622
Pierce City,Missouri,36.94499,-94.00159
Foley,Alabama,30.40607,-87.6838
Big Bend National Park,Texas,29.3282,-103.20614
Nunapitchuk,Alaska,60.89705,-162.45268
